日付,コード,社名,業種,セクター,ウエート
2024/8/30,6367,ダイキン工業,機械,資本財・その他,1.57%
2024/8/30,6471,日本精工,機械,資本財・その他,0.06%
2024/8/30,6472,ＮＴＮ,機械,資本財・その他,0.02%
2024/8/30,6473,ジェイテクト,機械,資本財・その他,0.09%
2024/8/30,6479,ミネベアミツミ,電気機器,技術,0.26%
2024/8/30,6501,日立製作所,電気機器,技術,0.30%
2024/8/30,6503,三菱電機,電気機器,技術,0.21%
2024/8/30,6504,富士電機,電気機器,技術,0.15%
2024/8/30,6506,安川電機,電気機器,技術,0.41%
2024/8/30,6526,ソシオネクスト,電気機器,技術,0.27%
2024/8/30,6594,ニデック,電気機器,技術,0.40%
2024/8/30,6645,オムロン,電気機器,技術,0.51%
2024/8/30,6674,ジーエス・ユアサコーポレーション,電気機器,技術,0.05%
2024/8/30,6701,日本電気,電気機器,技術,0.11%
2024/8/30,6702,富士通,電気機器,技術,0.23%
2024/8/30,6723,ルネサスエレクトロニクス,電気機器,技術,0.21%
2024/8/30,6724,セイコーエプソン,電気機器,技術,0.46%
2024/8/30,6752,パナソニックホールディングス,電気機器,技術,0.10%
2024/8/30,6753,シャープ,電気機器,技術,0.08%
2024/8/30,6758,ソニーグループ,電気機器,技術,1.20%
2024/8/30,6762,ＴＤＫ,電気機器,技術,2.50%
2024/8/30,6770,アルプスアルパイン,電気機器,技術,0.13%
2024/8/30,6841,横河電機,電気機器,技術,0.35%
2024/8/30,6857,アドバンテスト,電気機器,技術,4.49%
2024/8/30,6861,キーエンス,電気機器,技術,0.59%
2024/8/30,6902,デンソー,電気機器,技術,0.76%
2024/8/30,6920,レーザーテック,電気機器,技術,0.95%
2024/8/30,6952,カシオ計算機,電気機器,技術,0.10%
2024/8/30,6954,ファナック,電気機器,技術,1.81%
2024/8/30,6971,京セラ,電気機器,技術,1.21%
2024/8/30,6976,太陽誘電,電気機器,技術,0.30%
2024/8/30,6981,村田製作所,電気機器,技術,0.62%
2024/8/30,6988,日東電工,化学,素材,1.02%
2024/8/30,7004,日立造船,機械,資本財・その他,0.02%
2024/8/30,7011,三菱重工業,機械,資本財・その他,0.16%
2024/8/30,7012,川崎重工業,造船,資本財・その他,0.04%
2024/8/30,7013,ＩＨＩ,機械,資本財・その他,0.05%
2024/8/30,7186,コンコルディア・フィナンシャルグループ,銀行,金融,0.07%
2024/8/30,7201,日産自動車,自動車,技術,0.04%
2024/8/30,7202,いすゞ自動車,自動車,技術,0.09%
2024/8/30,7203,トヨタ自動車,自動車,技術,1.17%
2024/8/30,7205,日野自動車,自動車,技術,0.04%
2024/8/30,7211,三菱自動車工業,自動車,技術,0.00%
2024/8/30,7261,マツダ,自動車,技術,0.02%
2024/8/30,7267,本田技研工業,自動車,技術,0.81%
2024/8/30,7269,スズキ,自動車,技術,0.57%
2024/8/30,7270,ＳＵＢＡＲＵ,自動車,技術,0.23%
2024/8/30,7272,ヤマハ発動機,自動車,技術,0.32%
2024/8/30,7731,ニコン,精密機器,技術,0.13%
2024/8/30,7733,オリンパス,精密機器,技術,0.90%
2024/8/30,7735,ＳＣＲＥＥＮホールディングス,電気機器,技術,0.37%
2024/8/30,7741,ＨＯＹＡ,精密機器,技術,0.87%
2024/8/30,7751,キヤノン,電気機器,技術,0.64%
2024/8/30,7752,リコー,電気機器,技術,0.13%
2024/8/30,7762,シチズン時計,精密機器,技術,0.08%
2024/8/30,7832,バンダイナムコホールディングス,その他製造,資本財・その他,0.79%
2024/8/30,7911,ＴＯＰＰＡＮホールディングス,その他製造,資本財・その他,0.19%
2024/8/30,7912,大日本印刷,その他製造,資本財・その他,0.22%
2024/8/30,7951,ヤマハ,その他製造,資本財・その他,0.30%
2024/8/30,7974,任天堂,サービス,消費,0.67%
2024/8/30,8001,伊藤忠商事,商社,素材,0.65%
2024/8/30,8002,丸紅,商社,素材,0.21%
